name,address,category,monthly_price,notes,lat,lng
Los Campeones,"1324 Quincy St NE, Minneapolis, MN 55413",Full-Service,80,,45.007757905404596, -93.25043900572379
Los Campeones,"155 Eaton St, St Paul, MN 55107",Full-Service,80,,44.94294587958486, -93.082116357417
Los Campeones,"1550 Rice St, St Paul, MN 55117",Full-Service,80,,44.99879594340641, -93.10784602164703
Los Campeones,"1852 County Rd D E, Maplewood, MN 55109",Full-Service,80,,45.041992876190314, -93.02270197929366

Status Strength and Fitness,"4832 Park Glen Rd, St Louis Park, MN 55416",Full-Service,99,,44.944051851675745, -93.34222281809541

Discover Strength,"7878 Main St, Maple Grove, MN 55369",Full-Service,650,65 per class(10 assumed),45.10527327241184, -93.44352722386833
Discover Strength,"2661 Campus Dr, Plymouth, MN 55441",Full-Service,650,65 per class(10 assumed),45.016515482075306, -93.44833374170837
Discover Strength,"4450 Excelsior Blvd Ste 140, St Louis Park, MN 55416",Full-Service,650,65 per class(10 assumed),44.94414644290436, -93.33847046054278
Discover Strength,"5041 France Ave S STE 1, Edina, MN 55410",Full-Service,650,65 per class(10 assumed),44.92081347435405, -93.3288574235029
Discover Strength,"7101 France Ave S Ste 112, Edina, MN 55435",Full-Service,650,65 per class(10 assumed),44.883363703234025, -93.32679748699434
Discover Strength,"120 South 6th St, Minneapolis, MN 55402",Full-Service,650,65 per class(10 assumed),44.97778687505858, -93.27042280486577
Discover Strength,"1313 Wayzata Blvd, Wayzata, MN 55391",Full-Service,650,65 per class(10 assumed),44.98325649604745, -93.50048215125642
Discover Strength,"18882 Lake Dr E, Chanhassen, MN 55317",Full-Service,650,65 per class(10 assumed),44.87241598363118, -93.51421506131342
Discover Strength,"2895 Winners Cir Dr, Shakopee, MN 55379",Full-Service,650,65 per class(10 assumed),44.799134331531654, -93.48094940628233
Discover Strength,"5781 Egan Dr, Savage, MN 55378",Full-Service,650,65 per class(10 assumed),44.76501809047832, -93.35323334180937
Discover Strength,"15730 Emperor Ave #200, Apple Valley, MN 55124",Full-Service,650,65 per class(10 assumed),44.74063700444417, -93.18019867211362
Discover Strength,"747 Cleveland Ave S Ste b, St Paul, MN 55116",Full-Service,650,65 per class(10 assumed),44.93564072939711, -93.18637743515909
Discover Strength,"265 Radio Dr c, Woodbury, MN 55125",Full-Service,650,65 per class(10 assumed),44.96285457692543, -92.94055834513887
Discover Strength,"314 E Hennepin Ave, Minneapolis, MN 55414",Full-Service,650,65 per class(10 assumed),44.99791564744809, -93.25303582038829

The Power House MN,"7319 W Lake St, St Louis Park, MN 55426",Trainer,160,10 classes,44.93886089798831, -93.37397372742458
The Power House MN,"617 Snelling Ave S, St Paul, MN 55116",Trainer,160,10 classes,44.93310535657073, -93.16532810418481

